PCE,HOMO_LUMO_gap,HOMO,LUMO,Voc,Jsc,CATE,CATE_var,CATE_se
7.20222422084033,-1.53375812640558,-5.21122308818153,-3.67746496177595,0.61122308818153,181.3487114777,-5.70622587374995,117.235587562517,10.8275383888729
4.87965979289373,-0.92312659030503,-4.82206965952173,-3.8989430692167,0.22206965952173,338.17998831045,1.22340885489649,0.772882514123966,0.879137369313787
7.90776406889715,-1.42620714246963,-5.18804549960237,-3.76183835713274,0.58804549960237,206.9618796778,-4.5862124349183,79.7760917927002,8.93174629021113
1.74053410260704,-2.35063042301521,-5.10153526218252,-2.75090483916731,0.50153526218252,53.41074688547,33.872588303428,2647.53092385881,51.4541633287221
0.999740884905312,-1.87042086027894,-4.73358461267334,-2.8631637523944,0.13358461267334,115.18040593475,9.06014289595757,358.646282237949,18.9379587664022
0.120076884472646,-1.5806684482241,-4.61084795637386,-3.03017950814976,0.01084795637386,170.35664102405,0.748296586565175,1.63245764859578,1.27767666042539
1.94279516152874,-2.23367031011328,-5.05522332167336,-2.82155301156008,0.45522332167336,65.6825638976,25.5255709445085,872.138688629186,29.5319943219077
1.27504543441145,-2.78303604302643,-5.52589669309953,-2.7428606500731,0.92589669309953,21.19389189229,18.3490832883061,7.05517576544162,2.65615808366927
0,-1.60592746719891,-5.6526024952746,-4.04667502807569,0,0,-1.25414518840804,0.35586961895621,0.59654808603851
1.40932626629912,-2.136455438359,-4.88231771320627,-2.74586227484727,0.28231771320627,76.82826148205,28.0101097984558,2263.35529505572,47.5747337885954
2.75493707837963,-1.84175217586939,-4.95149024855474,-3.10973807268535,0.35149024855474,120.62740650415,0.519209557921115,52.1536101117661,7.22174564158598
1.3232346283296,-2.51650526535652,-5.12094244993162,-2.6044371845751,0.52094244993162,39.09261268211,7.57747388292576,95.423644023644,9.76850265003005
3.87339300368324,-1.89985089477306,-5.13944923319954,-3.23959833842648,0.53944923319954,110.5066900405,-3.50644181988009,15.4150358811093,3.92619865532926
7.10789870186676,-1.83785700796092,-5.50315458647728,-3.66529757851636,0.903154586477281,121.12302964905,33.1814454898746,399.542861334393,19.9885682662464
1.24634713629099,-2.93417690852183,-5.90685142178729,-2.97267451326546,1.30685142178729,14.67778063323,6.28729242541063,9.34599183331834,3.05712149469372
8.28700524966708,-1.76660252184785,-5.55342063769248,-3.78681811584463,0.95342063769248,133.7705931445,32.870318139171,390.836209601736,19.7695778812229
1.39403629481536,-2.86174759609129,-5.82668755718419,-2.9649399610929,1.22668755718419,17.489915378715,12.0675624205588,0.793897179487412,0.891009079351839
4.01387003762506,-2.07425689755085,-5.33057502230557,-3.25631812475472,0.73057502230557,84.5563200391,7.52550550960109,182.524746661498,13.5101719700934
7.18848639034758,-1.45150627361429,-5.15201311613607,-3.70050684252178,0.55201311613607,200.41750215045,-4.39676641316529,66.4006613962125,8.14866009821323
3.37841505210935,-1.71741606480246,-4.96374087728856,-3.2463248124861,0.36374087728856,142.9448392645,-0.942697453917131,46.0423862743011,6.7854540212355
4.27228481218066,-2.16352857371556,-5.49236910684568,-3.32884053313012,0.89236910684568,73.68231418275,48.0313755869189,1353.3574324491,36.7880066387009
2.96169356804854,-2.07632525284107,-5.13906562102334,-3.06274036818227,0.53906562102334,84.5563200391,-2.07457561734387,27.3614725053021,5.23081948697353
3.25843716726393,-1.92527159878799,-5.07219099257527,-3.14691939378728,0.47219099257527,106.20360034895,-1.62482391809113,58.2941109490559,7.63505801870922
5.35904197646772,-1.79344616733224,-5.23892425591032,-3.44547808857808,0.638924255910321,129.087850775,2.7131955848842,445.784403591955,21.1136070720272
7.32493249970183,-1.95210689340573,-5.70180535931951,-3.74969846591378,1.10180535931951,102.3166550419,5.99298981400589,52.705606294259,7.25986269114361
4.63159868851855,-2.07385102623447,-5.44300943564605,-3.36915840941158,0.84300943564605,84.5563200391,22.9361053428616,213.906860916054,14.62555506352
3.43192510970782,-1.61491641114916,-4.92545140379822,-3.31053499264906,0.325451403798221,162.2927952139,-0.658593330888583,54.8334282208531,7.40495970420185
0.954053259088238,-1.64850949415218,-4.6934592129851,-3.04494971883292,0.0934592129850998,157.10792297005,1.47273335317481,22.2890907917097,4.72113236329058
0,-1.14534812883151,-5.32386564023967,-4.17851751140816,0,0,-2.41558842973564,0.627091209214228,0.791890907394591
3.64585977815547,-2.44860536838333,-5.85235568272483,-3.4037503143415,1.25235568272483,44.8043166441,16.9155106409892,114.585053827064,10.7044408460724
2.59746212925567,-2.28373496958814,-5.26739865885334,-2.9836636892652,0.66739865885334,59.897884203495,4.68571862120125,381.069853434286,19.5210105638588
7.58576210611475,-1.35320427658399,-5.11922549426678,-3.76602121768279,0.51922549426678,224.8489157226,-3.18028520078096,74.8598048873027,8.65215608315654
7.86913418872082,-1.4179145620752,-5.17907380523994,-3.76115924316474,0.57907380523994,209.1416926586,-3.16135177996275,54.6995771197947,7.39591624613169
1.46459114934511,-2.62158000835955,-5.32181841807806,-2.70023840971851,0.72181841807806,31.227414871575,11.0996721947551,54.5073160915973,7.3829070217359
3.68801581474063,-2.12862692864356,-5.32991553920809,-3.20128861056453,0.72991553920809,77.7620591839,8.88737550764768,291.76821482303,17.0812240434645
3.95829547920926,-1.03185462950629,-4.80137354045296,-3.76951891094667,0.20137354045296,302.51951248025,0.88171357125176,0.230692116410407,0.480304191539494
7.50587895543264,-1.67666098400138,-5.36591838329127,-3.68925739928989,0.76591838329127,150.8226788224,8.73296301501574,32.0810654717178,5.66401496040731
8.93733737354323,-1.26240681237794,-5.1710439236617,-3.90863711128376,0.5710439236617,240.8719479686,1.7385830113598,43.9510214959189,6.62955665907751
3.11488469414136,-2.12324913417689,-5.21275651970322,-3.08950738552633,0.61275651970322,78.2350962302,-1.9861363906048,130.326530343986,11.4160645733977
5.65267890261247,-1.71048910052724,-5.20325724673845,-3.49276814621121,0.60325724673845,144.211321254,1.00909888561186,214.188790246943,14.6351901336109
0,-1.45028942667011,-4.3853665260602,-2.93507709939009,0,200.41750215045,-0.818814199019396,0.408525995726465,0.639160383414418
5.53987419087422,-1.67764930345694,-5.16530241282939,-3.48765310937245,0.56530241282939,150.8226788224,-2.26941209907637,45.7824798007635,6.7662751792078
3.76033185097926,-1.23829451645216,-4.83319870068824,-3.59490418423608,0.23319870068824,248.16905911785,0.00244711873700246,4.96229888557562,2.22762180039064
6.79608812945097,-1.79727009147186,-5.4158839863594,-3.61861389488754,0.815883986359401,128.19709383715,6.26534085274212,84.6807024075528,9.20221182148905
6.17551929089178,-1.51875848275421,-5.11474275636184,-3.59598427360763,0.514742756361841,184.64214047955,-3.97107575411133,105.399223708682,10.2664124069064
6.76559302128564,-1.70493842216391,-5.31596708495787,-3.61102866279396,0.71596708495787,145.4321417029,18.372415960748,405.923526090878,20.1475439220486
3.70532393117781,-2.08172847040301,-5.28185200724017,-3.20012353683716,0.68185200724017,83.63414958925,0.53360076264824,142.602861661505,11.9416440099973
2.38998738091267,-1.92748352963455,-4.94634103888004,-3.01885750924549,0.34634103888004,106.20360034895,-0.496017292951366,49.0536737217683,7.00383278796462
1.45262911354592,-2.07630981501504,-4.86439683823407,-2.78808702321903,0.26439683823407,84.5563200391,14.9689387133248,903.00463843506,30.0500355812611
1.61553804000227,-1.8137625136709,-4.7979594968256,-2.9841969831547,0.1979594968256,125.59965152865,0.232664539750935,38.6416751375591,6.21624284737647
2.37443840878247,-1.86400567338538,-4.91327166501297,-3.04926599162759,0.31327166501297,116.65070843205,-0.217300548292569,49.1316862350822,7.0093998484237
0,-1.6107859521655,-5.69978837412941,-4.08900242196391,0,0,-0.484168765848264,0.32393979931655,0.56915709546359
2.74366263958532,-1.88617309627829,-4.97442930942757,-3.08825621314928,0.37442930942757,112.7738636791,-0.911664845483183,42.3258797664691,6.50583428673595
5.46051895909241,-1.60182554676988,-5.10753432934874,-3.50570878257886,0.50753432934874,165.58312837885,-3.04092724022049,50.6457095634805,7.11657990635112
6.60005218422871,-1.2100819947068,-4.99547127250486,-3.78538927779806,0.39547127250486,256.8502632904,-3.34569102913885,57.7572503083592,7.59981909708114
5.42370885843097,-1.45744521261176,-5.01998812015411,-3.56254290754235,0.419988120154111,198.7499142499,-5.43647299711466,199.24935107853,14.1155712274966
0.99760141736632,-1.31947515375946,-4.6666041462421,-3.34712899248264,0.0666041462420999,230.5172229555,1.17855832283106,0.793232232926435,0.890635858769697
8.0011444565327,-1.09478018870316,-5.02749301032102,-3.93271282161786,0.42749301032102,288.05185769295,1.99129073130752,4.18883855223667,2.04666522720172
2.66451090100752,-1.84061360232133,-4.93995317215114,-3.09933956982981,0.33995317215114,120.62740650415,-0.480749082652523,67.6142208692906,8.22278668513848
7.53938386659502,-1.55785204161101,-5.26141735817661,-3.7035653165656,0.66141735817661,175.43161231375,-3.51333466780147,338.139386088085,18.388566721963
5.18895890537859,-1.16457593125976,-4.89430335426745,-3.72972742300769,0.29430335426745,271.351737358,-0.578536690592873,6.92421625882285,2.63139055611721
0.0996249448864249,-1.4278442625496,-4.60742408964075,-3.17957982709115,0.00742408964075,206.5249255615,0.702868669800348,1.20156238344591,1.09615801025487
5.87108071192969,-1.36924679507482,-5.00813891149959,-3.63889211642477,0.40813891149959,221.3898143769,-5.60478005821359,193.591274395489,13.9137081468417
2.3510134414257,-2.08975845481943,-5.03735088963924,-2.94759243481981,0.43735088963924,82.73184031645,3.16296584226275,264.086597012834,16.2507414296344
1.84494196949972,-1.52479416581991,-4.75471306321226,-3.22991889739235,0.15471306321226,183.52841449215,1.05958878866454,43.5058216285028,6.59589430088921
2.67500829218111,-2.11801072312343,-5.12000227133084,-3.00199154820741,0.52000227133084,79.171245868,-2.44562691979283,17.9469042283278,4.23637866913804
4.92777118234967,-1.99527218519784,-5.39165991695497,-3.39638773175713,0.791659916954971,95.7986665857,7.24413454047075,161.083251796103,12.6918576968111
1.12938075799483,-2.08963834120681,-4.81009479169585,-2.72045645048904,0.21009479169585,82.73184031645,10.9615297872203,398.023864152108,19.9505354352235
3.00940041350082,-1.95264074914534,-5.05478611536595,-3.10214536622061,0.45478611536595,101.84046328625,-0.85138555152882,36.6443826309617,6.0534603848511
3.47383859197188,-1.75625842857209,-4.99401793502232,-3.23775950645023,0.394017935022321,135.68793470505,1.25660202228932,62.5911717444666,7.91145825650787
2.06478020368669,-1.46531215422278,-4.76127985512991,-3.29596770090713,0.16127985512991,197.03405270835,0.625960301703746,51.4371705637045,7.171971176999
2.97908021221565,-2.01568936994039,-5.09319208906144,-3.07750271912105,0.49319208906144,92.96376030565,0.0603939385045858,71.1613911684781,8.435721140986
9.78490689960609,-1.64633784568557,-5.55556546039368,-3.90922761470811,0.95556546039368,157.59551056925,30.8237390013841,144.966830346899,12.0402172051379
2.14041496167459,-2.58538337535765,-5.56872075252906,-2.98333737717141,0.96872075252906,34.005327490875,25.5267797238855,362.003649867491,19.0263935065869
7.22387049703806,-1.62572867783146,-5.291477002331,-3.66574832449954,0.691477002331,160.78287804475,-0.996400872255557,195.366829099565,13.9773684611791
0.788205109091281,-2.84649175935196,-5.2717223186918,-2.42523055933984,0.6717223186918,18.059139566455,9.83300704251861,5.52377302422665,2.35027084061107
7.6734342666593,-1.55281378081645,-5.2679467925011,-3.71513301168465,0.6679467925011,176.80538800145,5.68842924140857,190.072829337253,13.7866902967048
9.10297685435621,-1.58837110777214,-5.43167928816845,-3.84330818039631,0.83167928816845,168.45159968195,16.2607462282457,88.7344223598601,9.4198950291317
2.83576070086866,-1.63759525330281,-4.87354786605026,-3.23595261274745,0.27354786605026,159.545234108,0.841487850177537,58.7665596648809,7.66593501569645
3.80107022900225,-1.94999531296301,-5.17175128229987,-3.22175596933686,0.57175128229987,102.3166550419,-2.29515337339031,55.4740038208107,7.44808725921029
1.88244054115962,-2.50006260581394,-5.31832517686332,-2.81826257104938,0.71832517686332,40.33181497709,15.1980598966806,165.375556074849,12.8598427702227
1.72612950984185,-2.26709793079957,-5.03079788183458,-2.76369995103501,0.43079788183458,61.666230969655,32.0030621327744,17886.225891582,133.739395435982
5.82159764183073,-2.11028551882892,-5.71853555834695,-3.60825003951803,1.11853555834695,80.1013763173,10.7260081699495,80.5998556725652,8.97774223691933
3.3175845856957,-2.09441844483504,-5.22395447487071,-3.12953603003567,0.62395447487071,81.83077946485,-0.803404281625749,31.2786117256698,5.59272846879497
5.15931320931493,-1.76342884910899,-5.18941838786618,-3.42598953875719,0.58941838786618,134.71495196315,-7.77063876279437,107.392462646712,10.3630334674125
4.41533046295532,-2.11800342482131,-5.45830831856635,-3.34030489374504,0.85830831856635,79.171245868,46.4097979489579,465.543095810059,21.5764477106418
2.64714372338679,-2.16202851207267,-5.15291942929364,-2.99089091722097,0.552919429293641,73.68231418275,-0.503408650556013,130.438555264333,11.4209699791363
2.15097897577058,-2.55570733790697,-5.50962641543183,-2.95391907752486,0.90962641543183,36.393237277735,21.2701546574318,332.310501726184,18.2293856650789
1.90821868676524,-2.37215738740474,-5.17213801201307,-2.79998062460833,0.57213801201307,51.33043315179,25.3181479259609,985.307538392918,31.3896087645724
2.86836570295594,-1.65166876423634,-4.88273131953876,-3.23106255530242,0.28273131953876,156.13784756505,0.657481872659308,62.1174769215826,7.88146413565288
7.61588886591486,-1.59637214770775,-5.3037960225452,-3.70742387483745,0.7037960225452,166.54108016195,-0.902272134491618,108.90194864013,10.435609643913
3.99475775167434,-1.68203670656316,-5.01017811842597,-3.32814141186281,0.41017811842597,149.88754514825,-2.26116222680564,75.0033912588385,8.66044983005147
4.23732585158384,-1.94769545222185,-5.23439920599046,-3.28670375376861,0.63439920599046,102.79614282145,3.82771766384891,64.0804114849618,8.00502414018607
10.0173379500112,-1.56659272883577,-5.48799625890468,-3.92140353006891,0.88799625890468,173.6156124469,41.1282695762837,1115.7254038386,33.4024760135922
3.51563231349656,-1.8068857141877,-5.0260458696372,-3.2191601554495,0.426045869637201,126.99735486555,-1.47084196114608,56.7317357663255,7.53204724934234
1.95725113849806,-1.93408935255874,-4.88626170049293,-2.95217234793419,0.28626170049293,105.2278979024,5.80108326549166,263.605413211444,16.2359296996336
5.65719511974881,-1.62339164344117,-5.14089472682078,-3.51750308337961,0.54089472682078,160.9666841029,-3.42571973235073,48.5573541196108,6.96831070774049
3.55887789619842,-1.61497239384003,-4.93749040851385,-3.32251801467382,0.33749040851385,162.2927952139,-0.419405271098879,55.5289379527151,7.45177414799422
0.65105566982236,-1.7797643912513,-4.67625503254713,-2.89649064129583,0.0762550325471299,131.40055567535,-0.22606716521958,116.79691463036,10.8072621246253
0,-1.60163428494629,-4.5872743685737,-2.98564008362741,0,165.58312837885,-0.135203541566256,0.590570865819902,0.768486086939707
2.42652069487295,-2.41472764386655,-5.38259358632453,-2.96786594245798,0.78259358632453,47.719436041355,9.32734926971168,85.2495786485176,9.23306983881946
3.72902301071327,-1.8976543253411,-5.11706131246769,-3.21940698712659,0.51706131246769,110.99428201745,-1.37515391057312,55.5610899341595,7.45393117315685
2.21236602420326,-2.56634549617485,-5.55555111044308,-2.98920561426823,0.95555111044308,35.63285708281,28.2044224288293,183.364595029837,13.5412183731685
6.27223796183031,-1.8997193398124,-5.47353747882979,-3.57381813901739,0.87353747882979,110.5066900405,37.7010619264491,1570.19275272665,39.625657757653
5.70002095139809,-1.65170106680027,-5.16184413421433,-3.51014306741406,0.56184413421433,156.13784756505,-1.15739835527953,57.990413905948,7.61514372194957
8.01818218774949,-1.17075843356,-5.05772006458769,-3.88696163102769,0.45772006458769,269.60227750235,2.7944101588051,9.15483607570059,3.02569596550952
2.17147772548167,-2.04367240814829,-4.97661455422971,-2.93294214608142,0.37661455422971,88.7372297955,-2.0243463897363,57.7491491076027,7.59928609196961
2.62051502364739,-2.16280367007837,-5.14735738695621,-2.98455371687784,0.54735738695621,73.68231418275,-1.77657279872742,29.253948355363,5.40869192646087
6.99465181842414,-1.5831753839522,-5.23367777836172,-3.65050239440952,0.63367777836172,169.88115712425,7.11929816003686,103.29822062627,10.1635732213759
9.64383164785679,-1.47581073193768,-5.36361053134368,-3.887799799406,0.76361053134368,194.36823821285,6.65660301276208,97.1254902910489,9.85522654691656
1.12120735201773,-1.25307357869861,-4.67086267161614,-3.41778909291753,0.0708626716161403,243.50955233605,1.02411150199273,1.03495404909551,1.01732691358064
2.93398693555689,-1.8494290215401,-4.97900774178527,-3.12957872024517,0.37900774178527,119.14002358375,-1.16159337147202,55.6392685170303,7.45917344730838
4.40000396394559,-1.8250680472371,-5.1478207892253,-3.3227527419882,0.5478207892253,123.6124304909,-2.90421240452035,45.7577808299017,6.7644497802779
4.35304878743222,-1.59868340521948,-5.00343188558622,-3.40474848036674,0.403431885586221,166.062243802,-1.54476226409782,69.6220000631502,8.3439798695317
3.86588933787861,-2.36853521615314,-5.7496690332539,-3.38113381710076,1.1496690332539,51.751646503115,12.7788746726311,46.5739504781542,6.82451100652304
8.95318475048415,-1.32422672316819,-5.19892574362089,-3.8746990204527,0.59892574362089,230.0658468979,-0.231175088997223,7.02414678866029,2.6503106966279
3.70526384811437,-2.13818887393502,-5.3466951892229,-3.20850631528788,0.7466951892229,76.3701024151,6.27700131074512,154.972107510723,12.4487793582633
2.16453491659279,-2.61763123418363,-5.65372839812265,-3.03609716393902,1.05372839812265,31.61429479104,23.9241051190159,86.2695440817359,9.28813996889237
2.4708116861378,-2.09825400582043,-5.06726666113,-2.96901265530957,0.46726666113,81.38089057605,-1.68817399280001,15.3831349233713,3.92213397570396
7.88642961534558,-1.91648962318071,-5.72740502285269,-3.81091539967198,1.12740502285269,107.65843282025,10.0422977012619,19.2174941949534,4.38377624827652
4.52415099766389,-1.87587245031817,-5.20960303333294,-3.33373058301477,0.609603033332941,114.2187911189,-1.86819050990447,30.076846637001,5.48423619449427
3.29286673040824,-2.19868337103309,-5.33209666641724,-3.13341329538415,0.73209666641724,69.2234614721,7.4080136267714,509.214361933194,22.5657785580997
2.29408497650285,-2.1729932447366,-5.08813387839323,-2.91514063365663,0.48813387839323,72.32994545335,0.231504605692446,124.951311018124,11.1781622379586
2.96249801329007,-2.29791539623804,-5.37770655880636,-3.07979116256832,0.77770655880636,58.625950012825,13.0239947786687,12.0277854679072,3.46810978313939
6.09503018507371,-1.56258802733435,-5.13748899924128,-3.57490097190693,0.53748899924128,174.5234814986,-5.31910354410333,103.474186863491,10.1722262491301
8.91794573022647,-1.62144478628372,-5.45136274908374,-3.82991796280002,0.851362749083741,161.2121494191,48.6599313468921,630.333956888314,25.1064524950921
5.23004933111268,-1.66689560301556,-5.12701904604195,-3.46012344302639,0.52701904604195,152.73095309355,-4.00525916591451,53.3486338791823,7.3040149150438
3.13185940587715,-2.19442191028108,-5.2918183046071,-3.09739639432602,0.6918183046071,69.67192277435,3.47273072578051,81.8144007090224,9.04513132624521
6.46208420357473,-1.19502444675593,-4.98007031467662,-3.78504586792069,0.380070314676621,261.6713948992,-3.36663607345535,39.3354049301732,6.27179439476241
5.23079144458508,-2.08323174627994,-5.56256783811377,-3.47933609183383,0.96256783811377,83.63414958925,30.4304150928063,128.699640189923,11.3445863824964
5.0489865019247,-1.45137550426207,-4.98771816776322,-3.53634266350115,0.38771816776322,200.41750215045,-1.04434689408336,71.4847571122712,8.45486588375423
2.33173744860261,-2.67973126808532,-5.90871289049082,-3.2289816224055,1.30871289049082,27.420972598045,21.0234854755895,241.669584729036,15.545725609602
7.22308166328613,-1.70629062016454,-5.36651651385758,-3.66022589369304,0.76651651385758,145.02691086845,10.1046245248038,188.339149314843,13.7236711311093
2.18644425985786,-2.0997915038099,-5.01348861784267,-2.91369711403277,0.41348861784267,81.38089057605,-1.39761027783268,27.2150943292348,5.21680882621117
3.55870061837931,-2.11283881535748,-5.28774785660014,-3.17490904124266,0.68774785660014,79.63606555515,2.39020412185071,32.776095876142,5.72504112440618
1.4639448157122,-1.81638919248901,-4.78009230661984,-2.96370311413083,0.180092306619841,125.1057102113,1.82026104418685,38.0919410890766,6.17186690467938
1.63094970276898,-1.96647721108843,-4.85111512731269,-2.88463791622426,0.25111512731269,99.9574755777,8.77086617341419,923.814393092796,30.3943151443291
5.09867798061214,-1.40504333620664,-4.96909677941308,-3.56405344320644,0.36909677941308,212.6008102647,-4.43352750170722,134.198039959232,11.5843877679933
2.78430086027428,-1.82156077255455,-4.94526900375121,-3.12370823119666,0.34526900375121,124.10982324975,-0.221308948396479,38.3712656834046,6.19445442984324
10.4646327485328,-1.29898171359067,-5.29104288473028,-3.99206117113961,0.69104288473028,233.0593758922,4.24163872441189,31.123597019053,5.57885266152934
10.458902346247,-1.43638290982748,-5.38745784868728,-3.9510749388598,0.78745784868728,204.41199612925,6.72910112389135,99.4840127853767,9.97416727277905
4.69146915025796,-1.91235698478009,-5.26484659091703,-3.35248960613694,0.66484659091703,108.60129547865,-0.0636180465642524,888.974961823925,29.8156831520582
2.7797380076163,-2.2046551881064,-5.22206406060744,-3.01740887250104,0.622064060607441,68.77274220765,0.404114018138648,218.692271439214,14.7882477474248
2.40216852551647,-2.47473806430414,-5.47269124620033,-2.99795318189619,0.87269124620033,42.36336404768,31.3948687523981,664.004559489202,25.7682859245469
4.17640272992809,-1.52168565986844,-4.94949325234012,-3.42780759247168,0.34949325234012,183.9124639807,-2.54933999119208,67.4007298383335,8.20979475007344
4.47306489716524,-1.46833137437369,-4.95098898108995,-3.48265760671626,0.350988981089951,196.1368986434,-2.62878732654586,84.2546106839325,9.17903103186455
4.73233964216066,-1.80840804469534,-5.17537869962752,-3.36697065493218,0.57537869962752,126.58134716045,-1.66013566501104,43.1915880226521,6.57203073810919
5.58927668764925,-1.52404937877089,-5.06870532069991,-3.54465594192902,0.46870532069991,183.52841449215,-3.0118868749142,74.6072526113444,8.63754899328185
3.8029421949589,-1.43248633460537,-4.88513859652651,-3.45265226192114,0.285138596526511,205.26329856695,-0.649629408092338,48.2999885840367,6.949819320244
1.52897961450729,-2.33929215423049,-5.02999551991479,-2.6907033656843,0.42999551991479,54.724947245995,10.8926845945411,37.3460711398566,6.11114319418688
1.73988644652672,-2.27133465462518,-5.03735865661017,-2.76602400198499,0.43735865661017,61.225277938305,44.5384058536876,7715.35709661149,87.8371054658081
6.63990112456723,-1.58111263581796,-5.19986031485067,-3.61874767903271,0.59986031485067,170.35664102405,-4.46540446576069,103.667145093412,10.1817063939898
3.91396675666165,-1.35059010088477,-4.86714186735893,-3.51655176647416,0.26714186735893,225.48765101135,-1.19185135786083,27.2001993338963,5.21538103439205
0,-2.19506911586944,-6.22351155443466,-4.02844243856522,0,0,-1.37073667647659,1.34855809453081,1.16127434077001
2.7499975950722,-2.21554132860882,-5.22763657993947,-3.01209525133065,0.62763657993947,67.4328715528,-0.0498401492326669,86.977337466771,9.32616413466818
0,-1.56392432356832,-5.66595724675713,-4.10203292318881,0,0,-0.489682991378098,0.504789421752889,0.710485342391305
0.544619774994559,-1.81991291883199,-4.66726582923609,-2.8473529104041,0.0672658292360902,124.60816287465,8.19763910838021,172.857709815376,13.1475362640829
4.38296424319459,-1.71198326625939,-5.06775254484748,-3.35576927858809,0.46775254484748,144.211321254,-1.43206133505424,58.3359013348141,7.63779427156912
5.06055803518302,-2.26017539164962,-5.84526024784254,-3.58508485619292,1.24526024784254,62.544031603365,13.943294242591,20.048217111706,4.47752354675059
3.80798359686877,-1.59732509319758,-4.95190163046998,-3.3545765372724,0.35190163046998,166.54108016195,1.10555036866463,65.3757650884502,8.08552812674906
6.28030579547429,-1.41055412073993,-5.05833327545348,-3.64777915471355,0.45833327545348,210.88563085395,-2.39856987696372,82.6737075801694,9.09250832169921
5.93534334112652,-1.7036423268443,-5.22810613301758,-3.52446380617328,0.628106133017581,145.4321417029,-6.40451279677379,124.492132665425,11.157604252949
3.94436418596401,-1.24127566114822,-4.84576107935654,-3.60448541820832,0.245761079356541,247.00826678125,0.464733195174567,4.90805475173859,2.21541299800705
2.62649990464215,-2.35935306307068,-5.36825832296847,-3.00890525989779,0.76825832296847,52.6159847122,11.0916179819714,67.3724183993281,8.20807032129526
4.30065963677744,-1.44448592264659,-4.92738409610689,-3.4828981734603,0.327384096106891,202.1738968145,-0.713262607971767,45.9538020029342,6.77892336606147
1.07790014675531,-2.2183792956128,-4.84758457481492,-2.62920527920212,0.247584574814921,67.0042784528,10.6614134217594,23.2449699573114,4.82130376115334
5.7492313647001,-1.26083918498056,-4.9667905126822,-3.70595132770164,0.3667905126822,241.2344229815,-3.51296112733291,178.378647486512,13.3558469400676
2.15140923964055,-1.61148639308407,-4.80287779007728,-3.19139139699321,0.20287779007728,163.2059963586,2.47178000129222,52.9589730195213,7.27729159918176
3.80799320520342,-1.50178153213023,-4.91158340003038,-3.40980186790015,0.31158340003038,188.09161694375,-1.9091301395928,67.6503110710036,8.22498091614829
4.31909847223852,-1.95646410350054,-5.25578839023327,-3.29932428673273,0.65578839023327,101.36241963445,9.02836084152755,134.551606033928,11.5996381854749
5.75845043851216,-1.67300067096612,-5.18394823709241,-3.51094756612629,0.58394823709241,151.7675309696,0.0172765238157868,91.5769994396402,9.5695872136493
1.85251329395413,-1.98637566113588,-4.89336409871795,-2.90698843758207,0.29336409871795,97.18560794085,0.868965854110011,172.900882197883,13.1491780046466
7.99181796090312,-1.60718671951498,-5.34928952600058,-3.7421028064856,0.74928952600058,164.1509907375,8.60760352824662,191.696394204111,13.8454466957231
2.8906550452019,-1.87659359328427,-4.98949895456278,-3.11290536127851,0.38949895456278,114.2187911189,0.418151633233322,60.564691718358,7.78233202313792
10.3163204145139,-1.47175991308269,-5.41315679601428,-3.94139688293159,0.81315679601428,195.2531790391,8.42644156160696,53.2768224151409,7.2990973698904
4.00158787307599,-2.31107088527484,-5.67428039845219,-3.36320951317735,1.07428039845219,57.32740639405,16.9533383595209,473.678733677313,21.7641616810139
2.92561632279578,-2.03288204693023,-5.09943648647138,-3.06655443954115,0.499436486471381,90.15393573355,-0.902443471614724,90.3260679167327,9.5040027313092
7.38838398143275,-1.88822922472277,-5.61235844437279,-3.72412921965002,1.01235844437279,112.3214588392,16.1019878074011,298.376872900776,17.2735888830543
5.12011733963447,-1.26433170516455,-4.92811575355715,-3.6637840483926,0.32811575355715,240.1598584138,-6.73107834172082,307.010594914923,17.5217178071935
2.30251820766883,-1.51188405664096,-4.79036398898747,-3.27847993234651,0.19036398898747,186.1512100799,2.19233145485513,48.2401118862015,6.94551019624919
10.8849817390398,-1.51302709887648,-5.50186917789159,-3.98884207901511,0.90186917789159,185.7512509333,29.5809234787179,278.330993611663,16.683254886612
1.51069983045801,-1.75712036267109,-4.77135016837318,-3.01422980570209,0.17135016837318,135.68793470505,1.6167505500191,35.1049638689842,5.92494420809042
2.93299881622264,-2.34865094111665,-5.44514421640571,-3.09649327528906,0.84514421640571,53.41074688547,19.4660953724128,190.466177825669,13.8009484393526
5.2785659962195,-1.9432749352476,-5.38281840760177,-3.43954347235417,0.782818407601771,103.77733495415,7.35296025321963,82.8324723910499,9.10123466300314
1.21332625098802,-3.01860769640333,-6.22594392294912,-3.20733622654579,1.62594392294912,11.484699015465,-1.51167141595084,3.64022851013802,1.90793828782223
9.74684236792307,-1.49889999378879,-5.39408633266326,-3.89518633887447,0.79408633266326,188.90515452055,10.7297024933391,209.904664376289,14.4880869812508
2.3139894806503,-2.2171376892563,-5.1281257140929,-2.9109880248366,0.5281257140929,67.4328715528,-0.471814960571517,99.0581215742321,9.95279466151252
2.37703373700516,-2.57988770063551,-5.6630698823594,-3.08318218172389,1.0630698823594,34.41288779656,24.9140322444074,421.692116418497,20.5351434477214
3.81991731399042,-2.089327970075,-5.31060599066968,-3.22127802059468,0.71060599066968,82.73184031645,12.3459359833393,1016.25708024972,31.8787873083296
1.09989844128804,-2.85606945789198,-5.5530849629513,-2.69701550505932,0.9530849629513,17.76104669885,12.5658665832689,1.89094633689988,1.37511684481715
